Name,Car Spaces,Bedrooms,Bathrooms,Floor area (m2),Land Size(m2),Waterfront,Location,Price
Exclusive/Luxury Fully Furnished House & Lot in 1st Class Subdivision,2,6,4,270,300,1,Consolacion,22500000
Overlooking House And Lot In Bogo City,,2,1,50,40,0,Bogo,1417030
5 Bedrooms House and Lot For Sale in Punta Princesa Cebu City,4,5,5,328,200,0,Cebu,24850000
3 Bedrooms House and Lot For Sale in Bayswater Talisay City Cebu,2,3,2,95,154,1,Talisay,9137012
Overlooking 4 Bedrooms House and Lot For Sale in Talisay City Cebu,2,4,3,89,88,0,Talisay,6393000
Fully Furnished Cebu House and Lot for Sale,,5,5,272,361,1,Talisay,21000000
Ready For Occupancy House and Lot For Sale in Liloan Cebu,1,4,2,70,100,1,Liloan,3683928
Brandnew 5 Bedroom Townhouse for sale ready to move in,2,5,3,88,100,0,Liloan,4950000
"4 Bedroom Brand New House in Tayud, Liloan Cebu",,4,3,181,90,1,Liloan,6500000
6Br House and Lot With Swimming pool For Sale in Lapu Lapu City Cebu,2,6,7,420,485,1,Lapu-lapu,30000000
5 Bedrooms House and Lot for Sale in Bankal Lapu Lapu City Cebu,4,5,5,260,450,0,Lapu-lapu,14000000
4 Bedrooms House and Lot For Sale in Looc Lapu Lapu City Cebu,2,4,3,173,144,1,Lapu-lapu,8543145
5Br Single Detached House and Lot For Sale in Lapu Lapu City Cebu,2,5,4,170,123,0,Lapu-lapu,9822000
Beautiful Single House in Villas Magallanes Mactan,2,5,3.5,150,180,0,Lapu-lapu,8500000
"3 storey house for sale at Tawason, Mandaue, Cebu",,5,3,112,150,1,Mandaue,12000000
RFO Single detached house for sale Canduman Mandaue near Ateneo De Cebu,,4,3,89,120,0,Mandaue,7483726
House and Lot For Sale in Pardo Cebu City near Pardo Public Market,2,4,3,250,404,0,Cebu,15000000
Spacious 4BR House and Lot For Sale in Liloan Cebu,1,4,3,108,100,1,Liloan,5145487
2 Bedroom House and lot for sale in Lapu-lapu City,,2,2,62.2,60,1,Lapu-lapu,3620400
"House and Lot for Sale in Maryville Subdivision, Cebu City",1,4,4,185,260,0,Cebu,15000000
"Townhouse with 2 Bedrooms, 2 T&B and Fully Furnished",,2,2,60,40,0,Lapu-lapu,2200000
House & lot for sale in Lapu-Lapu,,4,2,120,100,0,Lapu-lapu,3500000
"House for sale at Tres de Abril St., Punta Princesa, Cebu City",4,5,5,328,200.5,0,Cebu,22850000
3 beedroom for sale in tayud CONSOLACION cebu,,3,3,93,135,1,Consolacion,7450500
"3 br, rfo-single detached house w/2 t&b & carport/location: guinsay, danao city",1,3,2,77,80,0,Danao,
semi-furnished mecosolar powered house & lot for sale,,3,4,180,440,0,Lapu-lapu,10000000
2-Storey DUPLEX HOUSE Aand Lot in Consolacion near to soon Metro Cebu Expressway,,3,2,77,65,1,Consolacion,4193076
3 Bedrooms/2- T& B/Single Attached House,,3,2,68,75,0,Naga,
"3BR Modern House for Sale in Talamban, Cebu City",2,3,2,204,200,0,Cebu,17200000
Overlooking 5 Bedroom House for Sale in Maria Luisa Estate Park,6,5,5,550,739,1,Cebu,80000000
Affordable Ready for Occupancy Single Attached Two Storey 4 BR House & Lot Cebu!,2,4,3,184,154,0,Consolacion,11000000
Ready to move in 4 bedroom Duplex house,,4,2,71,110,1,Liloan,3987000
3BR Ready For Occupancy House and Lot For Sale in Liloan Cebu,1,3,2,54,75,1,Liloan,3823389
Ready for Occupancy House and Lot in Consolacion,,5,4,135,160,1,Consolacion,8000000
3BR Duplex House & Lot For Sale in Liloan Cebu,1,3,2,91,80,1,Liloan,4364216
Single detached house and lot in cordova,,2,1,40,186,1,Cordova,4500000
RFO Fully Furnished Single Detached House and Lot For Sale in Consolacion Cebu,2,4,3,85,141,1,Consolacion,7959105
House and Lot Single Detached For Sale in Consolacion Cebu,1,4,3,93,140,1,Consolacion,6192500
Spacious 5br House and Lot for Sale in Consolacion Cebu,3,5,3,135,175,1,Consolacion,8537500
HOUSE AND LOT FOR SALE Cebu!!! (Titled House & Lot),4,3,3,184,,0,Consolacion,6500000
Ajoya Shophouse for Sale Corvoca Lapu-Lapu City,,4,3,120,75,1,Lapu-lapu,7200000
3 Bedroom Townhouse in Fabro Hills,1,3,2,117,100,0,Lapu-lapu,6210000
"House and Lot in Bangkal, Lapulapu City, Cebu",1,3,2,155,146,0,Lapu-lapu,7500000
"House and Lot for Sale in Maryville Subdivision, Cebu City",1,4,4,185,250,,Cebu,15000000
Ready For Occupancy House and Lot in Maria Luisa Cebu,2,4,,384,322,,Cebu,38000000
2 Storey House and Lot with Complete Amenities,,2,1,54,40,,Cebu,2823000
Fully Furnished House & Lot for Sale,1,2,1,57,54,,Cebu,2100000
"2BR, Fully Furnished Townhouse - CKL Homes, Lapu-Lapu - near Gaisano Grandmall",,2,1,40,60,,Lapu-Lapu,2500000
"House and Lot in Basak, Lapulapu, Cebu City",2,4,2,150,250,,Cebu,7500000
4BR Almost RFO Detached House in Yati Liloan Cebu,2,4,3,120,122,,Cebu,6500000
7Br Mountain & City View House and Lot For Sale in Guadalupe Cebu City,2,7,7,600,431,,Cebu,35000000
4BR Single Detached House and Lot For Sale in Minglanilla Cebu,2,4,3,89,120,,Minglanilla,8697800
Affordable House and Lot for Sale in Basak Lapu Lapu City Cebu,1,2,1,54,40,,Lapu-Lapu,2395000
For Sale House and Lot In Marigondon Lapu lapu near Beaches,,3,1,48,50,,Lapu-Lapu,2723800
"Affordable townhomes in lapulapu near hiways,beaches and 3rd bridge soon",,3,2,61,60,,Lapu-Lapu,3728200
Briella (RFO) 2 storey single detached with balcony for Sale in Minglanilla,2,5,4,210,180,,Minglanilla,9133966
"Ready for Occupancy House near South Road Properties, a block only from Highway",,2,3,78,52,,Cebu,5507600
Cheapest 4 bedroom house in Liloan near Liloan Golf and Leisure Estates,1,4,2,70.7,160,,Liloan,5931000
For Sale House and Lot in Mandaue,2,4,3,123,123,,Mandaue,8200000
"Brand New House and Lot for Sale in Molave Highlands, Consolacion",2,3,3,183.4,154,,Consolacion,11800000
"4BR Corner-Unit Shophouse for Assume in Ajoya Cordova, Mactan, Cebu",1,4,4,102,124,,Lapu-Lapu,6600000
Rent to Own Duplex House for sale in Cebu - Eastland Estate Liloan,1,3,2,63,74,,Liloan,4748160
"4 Bedroom Spacious house and Lot with Overlooking View in Compostela, Cebu",,4,3,156,150,,Compostela,9745235
Single House with Seaview in Cebu - Crown Heights Subdivision,,4,3,157,150,,Compostela,8861438
"RFO 2 STOREY TOWNHOUSE WITH 3 BEDROOMS AND 2 T&B/Loc: Poblacion, Liloan",1,3,2,60.45,58.8,,Liloan,
3 Bedrooms Single Detached House and Lot for Sale along Hi way Toledo Cebu,,3,2,57,80,,Toledo,2063173
"Affordable Low cost Housing In De lapaz Bogo City, Cebu",,,1,50,40,,Bogo,1363500
"2 BR-RFO TOWNHOUSE WITH 2 T&B AND 1 CARPORT/location: Ward 1, Minglanilla, Cebu",1,2,2,65,40,,Minglanilla,
Affordable Pre-Owned House & Lot w/ Free Car & Appliances at Tabok Mandaue Cebu,2,4,3,200,110,,Mandaue,12000000
3br Ready for Occupancy House and Lot for Sale in Mandaue City Cebu,1,3,2,63,70,,Mandaue,5253960
Ready for Occupancy Overlooking House in Tawason Mandaue,2,4,3,123,121,,Mandaue,8200000
Furnished 3 Bedroom House for Sale near Cebu International School,1,3,3,200,140,,Mandaue,18000000
RFO House and Lot For Sale in Ma. Luisa Estate Park Banilad Cebu City,,4,4,462,337,,Cebu,45000000
4br House and Lot for Sale in Talisay City Cebu,1,4,3,123,92,,Talisay,7353480
5Br Spacious House and Lot For Sale in Banawa Cebu City,2,5,4,320,385,,Cebu,35570000
4Br House and Lot For Sale in Banawa Cebu City,2,4,4,114,75,,Cebu,8652000
nice family house for sale in subdivision guadalupe cebu city,1,3,3,135,150,,Cebu,13000000
Modern 4 Bedroom House for Sale in Maria Luisa Park,,4,4,500,814,1,Cebu,120000000
"House and Lot for Sale in (Single Detached), Banawa, Cebu City",2,3,3,280,307,,Cebu,28300000
"House for Sale in South Hills, Cebu",,4,5,390,400,,Cebu,19000000
Premium 3 Bedroom House and Lot in a Master Planned Subdivision for Sale,2,3,2,204,200,,Cebu,17200000
"Brand new, ready for occupancy house in Talamban",2,4,3,136,103,,Cebu,8800000
Rush Sale! 5-bedroom House and Lot Situated in a Safe& Secured Subd. Banawa,,5,5,200,,,Cebu,18000000
Talisay city cebu 5 bedrooms single detached house and lot for sale bayswater,1,5,4,191,172,,Talisay,13319013
5Br House and Lot For Sale in Banawa Cebu City,2,5,4,320,385,,Cebu,35570000
Brand New 4 Bedroom House for Sale in Maryville Subdivision,2,4,2,300,250,,Cebu,15000000
338sm Semi-Commercial Property in Katipunan/Tres Labangaon,,18,5,300,338,,Cebu,18000000
Furnished 3 Bedroom House for Sale near Cebu International School,1,3,3,200,140,,Cebu,18000000
5Br House and Lot For Sale in Vista Grande Talisay City Cebu,2,5,4,245,170,,Talisay,14000000
"Single Detached 4 Bedroom House in ToloTolo, Consolacion",2,4,3,95,168,,Consolacion,11000000
"Ready for Occupancy Furnished single detached house and lot for sale in Talisay City, Cebu",1,4,3,127,154,,Talisay,9000000
2 Storey Duplex House with 6 Bedrooms inside The Subd. in Talisay P15M,1,6,6,250,227,,Talisay,15000000
"2 BR-RFO TOWNHOUSE WITH 2 T&B AND 1 CARPORT/location: Ward 1, Minglanilla, Cebu",1,2,2,65,40,,Minglanilla,3500000
Furnished Townhouse for Sale in Lahug with rent income,,3,2,188,100,0,Cebu,7300000
"Modern asian tropical house near malls, hospital and public market",7,5,5,350,294,0,Consolacion,5000000
"4 Bedroom with toilet and bath, 1 maids quarter with own bathroom",,4,4,361,374,0,Cebu,35000000
4BR House and Lot For Sale Single Detached in Lapu Lapu City Cebu,2,4,3,116,213,0,Lapu-Lapu,7995070
"3 bedrooms and 2 baths, two Storey Townhouse",,3,2,72,,0,Lapu-Lapu,1500000
4 Bedroom Brand new house and lot for sale in Talamban Cebu City,2,4,4,180,120,0,Talamban,8900000
"Brand New, RFO, Modern Design, High End, House and Lot For Sale at Consolacion Cebu Philippines",1,5,5,263,184,0,Consolacion,14000000
5Br Duplex House and Lot For Sale With Roof Terrace in Talamban Cebu City,2,5,4,135,81,0,Talamban,7299999
"House and Lot for Sale in Lapu-lapu City, Cebu (Fully Furnished)",,3,2,155,146,0,Lapu-Lapu,5700000
RICHWOOD HOMES TOWNHOUSE FOR SALE IN CEBU,,2,1,40,,0,Compostela,1275000
"Single detached House and Lot for sale in Sto.Niño Village, Banilad, Cebu City",2,5,5,320,250,0,Mandaue,25000000
3 Bedroom Townhouse in Greenplains Banilad,2,3,4,180,75,0,Mandaue,10500000
"House and Lot For Sale at Borbon, Cebu",2,2,1,100,1756,0,Borbon,3850000
House For Sale in Bantayan Island,,2,3,150,214,0,Bantayan,3000000
"1,450sqm House and Lot with Bar for Sale - Santander, Cebu, Philippines",3,4,2,1450,1450,0,Santander,8500000
2 Bedroom House And Lot For Sale in Lapu-Lapu City,,2,1,45,40,0,Lapu-Lapu,1740900
"House and Lot For Sale at Compostela, Cebu",1,2,2,111,,0,Compostela,3000000
Affordable Single House for Sale in Cebu - Anami Homes North,1,3,3,87,77,0,Consolacion,4400940
4BR Single Detached House and Lot For Sale in Talamban Cebu City,1,4,3,120,100,0,Talamban,7195550
Overlooking City-View And Multi-Level Elegant House For Sale In Buena Hills,5,6,6,865,530,0,Cebu,26500000
3112 Square meters Beach front Property In Matutinao Badian for sale,,1,1,50,3112,0,Badian,25000000
3 Bedroom Ready for Occupancy (RFO) Beach House in Argao City Cebu,,3,2,94,251,0,Argao,7078000
"House and lot for sale in Minglanilla, Cebu",1,2,1,46,58,0,Talisay,2700000
Rush House and Lot for Sale 3 Bedrooms with 2 toilet and bath,1,3,2,200,226,0,Minglanilla,3000000
"House and Lot, fully furnished, 2 bedroom for sale",1,2,1,72,122,0,Lapu-Lapu,3800000
"Happy Homes Subdivision Townhouse at Lapu-Lapu, Cebu",,3,2,66,40,0,Lapu-Lapu,1700000
2 Bedroom Beachfront Townhouse for sale in Argao Royal Palms,,2,2,86,90,0,Argao,4661000
2 Storey Townhouse In Minglanilla,,2,1,50,40,0,Minglanilla,1800000
Fully Furnished Villa inside Maria Luisa Subdivision,4,6,5,280,322,1,Banilad,38000000
Overlooking House and Lot for Sale in Talamban Cebu City,5,6,6,865,530,0,Guadalupe,26500000
4Br Spacious House and Lot For Sale in Lapu Lapu City Cebu,2,4,4,160,150,0,Lapu-Lapu,9000000
"Brand New House and Lot in Consolacion, Cebu near SM Consolacion and Cojordan",,2,2,100,50,0,Consolacion,2700000
"Two Storey House Villa with Pool - Camotes Islands, Cebu",,3,2,385.4,1500,1,Camotes,11900000
"3-Storey House with Swimming Pool Overlooking Cebu City, w/ sea view in Talamban",,6,4,700,300,0,Talamban,25000000
Fully furnished and well-ventilated house and lot in a subdivision in Liloan.,2,5,4,252,240,0,Liloan,7500000
Brand New House and Lot for Sale in Canduman Mandaue City,,4,3,114,84,0,Mandaue,6050000
Happy Homes Subdivision - Talisay,1,3,2,88,50,0,Talisay,3500000
4 Bedroom House for Sale in Maria Luisa Park,4,4,4,400,450,0,Banilad,52000000
Rush Sale 5 Bedroom Single Detached House Located in Guadalupe,,5,3,211,182,0,Guadalupe,18000000
For Sale 4 Bedroom House with 2 Garage,,4,3,160,120,0,Cebu,10500000
Affordable house and lot for sale with high end amenities in langtad naga cebu,1,2,2,46,48,0,Naga,1647734
3 Bedroom House and lot for sale in Maguikay Mandaue,,3,3,174,107,0,Mandaue,
"8-Bedroom in a 2-Storey House in Guadalupe, Cebu City with more car parking",2,8,6,280,528,0,Guadalupe,32000000
4 BR Furnished Townhouse for sale in Apas Lahug Cebu City,2,4,4,188,100,0,Lahug,7800000
Ready for Occupancy New Vizkaya Zen Single Detached Corner DP1.8M Inhouse,,2,2,66,118,0,Minglanilla,5000000
4BR Modern Zen house and lot Cabancalan Mandaue City,2,4,3,340,198,0,Mandaue,18000000
"RFO Duplex house for sale Park Place Subdivision, Lapu-Lapu, Cebu",,3,2,100,86,0,Lapu-Lapu,2500000
"10-Bedroom House and Lot for Sale, Cebu City",,10,10,527,267,0,Cebu,20000000
2 Bedroom RFO Townhouse in Cebu City,1,2,2,88,44,0,Talamban,3700000
For Sale Affordable House and Lot in DECA Homes Jagobiao Mandaue City.,2,3,2,60,125,0,Mandaue,3600000
3 Bedroom Brand New house and lot For Sale in Talamban Cebu City,,3,3,184,120,0,Cebu,7300000
"Beach house for sale at Guinsay, Danao, Cebu",1,4,3,155,287,0,Danao,7491505
"Carcar House and Lot - 4 bedroom family home, very secure premises",2,4,3,240,450,0,Carcar,4500000
3year old Beach house Catmon Cebu with private sea pool,,6,5,500,740,0,Catmon,22000000
"rush sale Rest house with 2 balconies, rooftop and chapel",,3,4,208,183,0,Carcar,4000000
Rent to Own talamban bungalow house for sale Talamban Cebu City,,4,4,140,300,0,Cebu,9000000
2724sq.m House and Lot for Sale,1,4,2,142,2724,0,Medellin,5300000
"1 Bedroom Townhouse in Agus, Lapu-Lapu City",,1,1,54,35,0,Lapu-Lapu,1500000
Brand New 5 Bedroom House for Sale in Maria Luisa Park Phase 1,,5,5,659,498,0,Mandaue,78000000
"House and Lot for Sale in Cebu City, Gated in Lahug close to JY Square",2,5,3,145,101,0,Cebu,8000000
"RFO House and Lot for Sale in Lapu-Lapu City, Cebu, Philippines",,3,2,160.96,150,0,Lapu-Lapu,8500000
Guadalajara guadalupe house and lot fully furnished,2,3,3,120,106,0,"Guadalupe, Cebu",8800000
5 Bedrooms House and Lot For Sale in Guadalupe Cebu City,3,5,3,155,238,0,"Guadalupe, Cebu",12500000
2-Storey Townhouse For Assumption,1,3,1,40,55,0,Lapu-Lapu,1550000
"Beautiful exclusive pocket subdivision in Poblacion, Lilo-An, Cebu",1,3,2,61,59,0,Cebu,4200000
Liloan Single Attached House For Sale,1,4,2,70.7,160,1,Liloan,5831210
Fabulous House with Designer Furniture in Maria Luisa Park,8,14,141,2100,1030,1,Cebu,200000000
House and Lot in Lahug near Marco Polo,2,6,3,420,450,1,Cebu,25000000
House For Sale in AMARA Liloan - Cebu Philippines,,5,4,933,659,0,Liloan,45000000
Modern fully furnished bunglow in heart of Cebu,1,5,5,631,154,0,Cebu,14500000
"House for Sale in Casuntingan, Mandaue Cebu",2,4,3,160,100,0,Mandaue,7000000
3 Bedroom with Backyard For Sale,1,3,2,64,97,0,Lapu-Lapu,4000000
Brand New House and Lot 4 bedrooms in South hills Subdivision,2,4,4,390,150,0,Cebu,19500000
"Beach House in Daanlungsod, Medellin, Cebu",,3,2,,247,,Medellin,8200000
Rush Sale: fully furnished beachside property in Amara Cebu,3,6,7,744,544,0,Liloan,45000000
"FOR SALE 2-storey Single Detached House and Lot (FURNISHED) in TALAMBAN, CEBU CI",2,4,2,80,130,0,Cebu,6000000
3 Storey House and Lot For Sale,,2,2,,65,0,Cebu,3500000
3 Bedroom Townhouse for Sale,1,3,2,69,49,0,Consolacion,2000000
RENT TO OWN 3Bedroom House and Lot in Talisay City Cebu,,3,3,88,99,0,Talisay,7000000
7 Bedroom Furnished House for Sale in Cebu,3,7,5,500,398,0,Consolacion,20000000
Furnished Two-Storey House with Big Lot Area at Talisay City Cebu,6,4,3,600,3951,0,Talisay,40000000
Affordable House and Lot for Sale in Cebu City,4,3,3,240,150,0,Cebu,8500000
Cebu House And Lot With Mansion for sale,,5,6,455,826,1,Cebu,165000000
"A Prime 3 bedroom Villa for Sale in Banawa, Cebu City",2,3,3,270,272,0,Cebu,26000000
Affordable House and Lot for Sale in Cebu City,2,3,2,140,170,0,Cebu,10000000
Semi-Furnished House at Ajoya For Sale,,4,2,,,0,Cordova,4000000
Beach house for sale,,4,5,805,1109,0,Carmen,25000000
House and Lot for Sale near Gaisano Capital SRP Cebu City,1,3,3,200,250,0,Cebu,4800000
"Modern Spanish house with sea view for sale in Corona del Mar, Talisay, Cebu",1,4,4,306,302,0,Talisay,18000000
"Villa Azalea 2-Storey Townhouse for Sale, Cebu",1,1,1,54,64,0,Liloan,1650000
Ready For Occupancy Single Attached House and Lot In Mandaue City!!!,2,4,3,123,121,0,Mandaue,8200000
"Beach Single House Detached 1-Storey | Argao, Cebu",,2,2,94,,0,Argao,7078000
5BR Modern House Furnish For Sale Sto Nino Banilad Cebu,2,5,6,260,549,1,Cebu,65000000
Maria Luisa House For Sale,4,5,5,1200,617,1,Cebu,90000000
House and Lot for sale in Pacific Heights,,4,2,300,150,0,Talisay,9000000
Single Detached House and Lot For Sale in Talisay City Cebu,2,3,2,92,100,0,Talisay,5231000
House + House and Lot for sale clean title Lapu Lapu City Cebu,,3,2,110,700,,Lapu-Lapu,13000000
RFO 5Br House and Lot For Sale in Mactan Tropics Lapu Lapu City Cebu,3,5,4,350,172,0,Lapu-Lapu,18000000
"5 bedroom house accessible to schools and hospitals in Banawa, Cebu City",,3,5,400,300,0,Cebu,22000000
"3 Bedroom House & Lot for Sale in Consolacion, Cebu",1,3,2,77,74,0,Consolacion,3400000
For Sale Luxury House and Lot with beautiful overlooking view!,4,7,6,800,600,0,Cebu,60000000
Furnished 4 bedrooms house and lot for sale in Banawa Cebu City,,4,3,117,68,0,Cebu,9000000
4BR Brand New & Fully Furnished Home For Sale in Molave Highlands,2,4,3,260,202,0,Consolacion,14500000
"Modern House with City view and Pool For Sale at Cebu City, Cebu",2,3,4,500,814,0,Cebu,100000000
Three Bedroom House For Sale in Talamban,,3,3,361,374,0,Cebu,35000000
"House and Lot For Sale at Cordova, Cebu",,3,2,63,62,0,Cordova,2705711
A 5-bedroom Home for Sale in Maryville,,3,5,450,438,0,Cebu,30000000
"3-BR House and Lot for Sale at Pacific Grand Villas, Lapu-Lapu City",,3,3,156,144,0,Lapu-Lapu,15000000
"House and Lot For Sale at Liloan, Cebu",2,3,3,150,170,0,Liloan,8000000
House and Lot for Sale in Modena Subdivision,,4,2,84,90,0,Lapu-Lapu,5600000
"Overlooking Brand New House With 5 Bedrooms And 2 Parking
",2,5,4,227,420,0,Talisay,14800000
House and Lot For Sale 4 Bedrooms,,4,3,190,204,0,Minglanilla,10000000
"House and lot Ready to move in Yati, Liloan, Cebu",,3,2,62,77,0,Liloan,4900000
"5 Bedrooms House and Lot For Sale in Vista Grande Talisay City Cebu
",2,5,4,254,170,0,Talisay,14000000
"Pacific Grand Villas Subdivision 2-Storey Regina Model for Sale, Cebu
",4,6,4,147,200,0,Lapu-Lapu,8500000
Ready for Occupancy House and Lot in LILOAN CEBU,,4,2,84,73,0,Liloan,5215000
Ready for Occupancy Townhouse in Maribago Lapu-Lapu City Cebu,,2,2,73,44,0,Lapu-Lapu,2520000
Single Attached House and Lot in Pajac Lapu-Lapu City,,4,2,108,117,0,Lapu-Lapu,5228440
"Panorama, Banawa Brand New Fully Furnished House For Sale",2,5,6,406,409,0,Cebu,35000000
House and Lot for Sale in Talisay Cebu (P4.6M Net of Taxes and Transfer Fees),,2,2,100,141,0,Talisay,4600000
Beautiful house furnished with nice amenities and sea breeze P28M Save P2M,2,6,6,410,328,1,Talisay,28000000
"3 storey over looking house for sale at Vista grande, Bulacao, Talisay, Cebu",,4,4,350,319,0,Talisay,18500000
